id_gene_DM,gene_DM,biotype_DM,DM_up,DM_down,id_gene_HS,gene_HS,biotype_HS,HS_up,HS_down,id_gene_MM,gene_MM,biotype_MM,MM_up,MM_down
FBgn0037085,Neu2,protein_coding,True,True,"ENSG00000152926,ENSG00000196705,ENSG00000173041,ENSG00000146757,ENSG00000256229,ENSG00000184635,ENSG00000181450,ENSG00000196381,ENSG00000196268,ENSG00000196605,ENSG00000234444,ENSG00000229676,ENSG00000196670,ENSG00000182903,ENSG00000213020,ENSG00000267041,ENSG00000188171,ENSG00000204611,ENSG00000198464,ENSG00000213973,ENSG00000160336,ENSG00000214652","ZNF117,ZNF431,ZNF680,ZNF92,ZNF486,ZNF93,ZNF678,ZNF781,ZNF493,ZNF846,ZNF736,ZNF492,ZFP62,ZNF721,ZNF611,ZNF850,ZNF626,ZNF616,ZNF480,ZNF99,ZNF761,ZNF727","protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding","False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False","True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True","ENSMUSG00000058093,ENSMUSG00000046185,ENSMUSG00000060301,ENSMUSG00000023892,ENSMUSG00000055480,ENSMUSG00000057396,ENSMUSG00000045519,ENSMUSG00000063488,ENSMUSG00000063281,ENSMUSG00000098905,ENSMUSG00000069743,ENSMUSG00000067916,ENSMUSG00000066829,ENSMUSG00000059142,ENSMUSG00000067942,ENSMUSG00000074165,ENSMUSG00000074865,ENSMUSG00000006720,ENSMUSG00000070605,ENSMUSG00000056300,ENSMUSG00000046311,ENSMUSG00000057842,ENSMUSG00000051037,ENSMUSG00000063108,ENSMUSG00000091474,ENSMUSG00000092416,ENSMUSG00000056019","Zfp729b,Zfp84,2610008E11Rik,Zfp51,Zfp458,Zfp759,Zfp560,Zkscan7,Zfp35,Zfp953,Zfp820,Zfp991,Zfp810,Zfp945,Zfp160,Zfp788,Zfp934,Zfp184,Zfp992,Zfp981,Zfp62,Zfp595,Zfp455,Zfp26,2610021A01Rik,Zfp141,Zfp709","protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding","False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False","True,True,True,False,False,False,False,True,False,True,True,False,True,True,True,False,True,False,False,False,False,True,False,True,True,True,True"
FBgn0032295,CG12299,protein_coding,True,True,"ENSG00000152926,ENSG00000196705,ENSG00000173041,ENSG00000146757,ENSG00000256229,ENSG00000184635,ENSG00000181450,ENSG00000196381,ENSG00000196268,ENSG00000196605,ENSG00000234444,ENSG00000229676,ENSG00000196670,ENSG00000182903,ENSG00000213020,ENSG00000267041,ENSG00000188171,ENSG00000204611,ENSG00000198464,ENSG00000213973,ENSG00000160336,ENSG00000214652","ZNF117,ZNF431,ZNF680,ZNF92,ZNF486,ZNF93,ZNF678,ZNF781,ZNF493,ZNF846,ZNF736,ZNF492,ZFP62,ZNF721,ZNF611,ZNF850,ZNF626,ZNF616,ZNF480,ZNF99,ZNF761,ZNF727","protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding","False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False","True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True","ENSMUSG00000058093,ENSMUSG00000046185,ENSMUSG00000060301,ENSMUSG00000023892,ENSMUSG00000055480,ENSMUSG00000057396,ENSMUSG00000045519,ENSMUSG00000063488,ENSMUSG00000063281,ENSMUSG00000098905,ENSMUSG00000069743,ENSMUSG00000067916,ENSMUSG00000066829,ENSMUSG00000059142,ENSMUSG00000067942,ENSMUSG00000074165,ENSMUSG00000074865,ENSMUSG00000006720,ENSMUSG00000070605,ENSMUSG00000056300,ENSMUSG00000046311,ENSMUSG00000057842,ENSMUSG00000051037,ENSMUSG00000063108,ENSMUSG00000091474,ENSMUSG00000092416,ENSMUSG00000056019","Zfp729b,Zfp84,2610008E11Rik,Zfp51,Zfp458,Zfp759,Zfp560,Zkscan7,Zfp35,Zfp953,Zfp820,Zfp991,Zfp810,Zfp945,Zfp160,Zfp788,Zfp934,Zfp184,Zfp992,Zfp981,Zfp62,Zfp595,Zfp455,Zfp26,2610021A01Rik,Zfp141,Zfp709","protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding","False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False","True,True,True,False,False,False,False,True,False,True,True,False,True,True,True,False,True,False,False,False,False,True,False,True,True,True,True"
FBgn0020309,crol,protein_coding,True,True,"ENSG00000152926,ENSG00000196705,ENSG00000173041,ENSG00000146757,ENSG00000256229,ENSG00000184635,ENSG00000181450,ENSG00000196381,ENSG00000196268,ENSG00000196605,ENSG00000234444,ENSG00000229676,ENSG00000196670,ENSG00000182903,ENSG00000213020,ENSG00000267041,ENSG00000188171,ENSG00000204611,ENSG00000198464,ENSG00000213973,ENSG00000160336,ENSG00000214652","ZNF117,ZNF431,ZNF680,ZNF92,ZNF486,ZNF93,ZNF678,ZNF781,ZNF493,ZNF846,ZNF736,ZNF492,ZFP62,ZNF721,ZNF611,ZNF850,ZNF626,ZNF616,ZNF480,ZNF99,ZNF761,ZNF727","protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding","False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False","True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True","ENSMUSG00000058093,ENSMUSG00000046185,ENSMUSG00000060301,ENSMUSG00000023892,ENSMUSG00000055480,ENSMUSG00000057396,ENSMUSG00000045519,ENSMUSG00000063488,ENSMUSG00000063281,ENSMUSG00000098905,ENSMUSG00000069743,ENSMUSG00000067916,ENSMUSG00000066829,ENSMUSG00000059142,ENSMUSG00000067942,ENSMUSG00000074165,ENSMUSG00000074865,ENSMUSG00000006720,ENSMUSG00000070605,ENSMUSG00000056300,ENSMUSG00000046311,ENSMUSG00000057842,ENSMUSG00000051037,ENSMUSG00000063108,ENSMUSG00000091474,ENSMUSG00000092416,ENSMUSG00000056019","Zfp729b,Zfp84,2610008E11Rik,Zfp51,Zfp458,Zfp759,Zfp560,Zkscan7,Zfp35,Zfp953,Zfp820,Zfp991,Zfp810,Zfp945,Zfp160,Zfp788,Zfp934,Zfp184,Zfp992,Zfp981,Zfp62,Zfp595,Zfp455,Zfp26,2610021A01Rik,Zfp141,Zfp709","protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding","False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False","True,True,True,False,False,False,False,True,False,True,True,False,True,True,True,False,True,False,False,False,False,True,False,True,True,True,True"
FBgn0037717,CG8301,protein_coding,True,True,"ENSG00000152926,ENSG00000196705,ENSG00000173041,ENSG00000146757,ENSG00000256229,ENSG00000184635,ENSG00000181450,ENSG00000196381,ENSG00000196268,ENSG00000196605,ENSG00000234444,ENSG00000229676,ENSG00000196670,ENSG00000182903,ENSG00000213020,ENSG00000267041,ENSG00000188171,ENSG00000204611,ENSG00000198464,ENSG00000213973,ENSG00000160336,ENSG00000214652","ZNF117,ZNF431,ZNF680,ZNF92,ZNF486,ZNF93,ZNF678,ZNF781,ZNF493,ZNF846,ZNF736,ZNF492,ZFP62,ZNF721,ZNF611,ZNF850,ZNF626,ZNF616,ZNF480,ZNF99,ZNF761,ZNF727","protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding","False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False","True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True","ENSMUSG00000058093,ENSMUSG00000046185,ENSMUSG00000060301,ENSMUSG00000023892,ENSMUSG00000055480,ENSMUSG00000057396,ENSMUSG00000045519,ENSMUSG00000063488,ENSMUSG00000063281,ENSMUSG00000098905,ENSMUSG00000069743,ENSMUSG00000067916,ENSMUSG00000066829,ENSMUSG00000059142,ENSMUSG00000067942,ENSMUSG00000074165,ENSMUSG00000074865,ENSMUSG00000006720,ENSMUSG00000070605,ENSMUSG00000056300,ENSMUSG00000046311,ENSMUSG00000057842,ENSMUSG00000051037,ENSMUSG00000063108,ENSMUSG00000091474,ENSMUSG00000092416,ENSMUSG00000056019","Zfp729b,Zfp84,2610008E11Rik,Zfp51,Zfp458,Zfp759,Zfp560,Zkscan7,Zfp35,Zfp953,Zfp820,Zfp991,Zfp810,Zfp945,Zfp160,Zfp788,Zfp934,Zfp184,Zfp992,Zfp981,Zfp62,Zfp595,Zfp455,Zfp26,2610021A01Rik,Zfp141,Zfp709","protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding","False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False","True,True,True,False,False,False,False,True,False,True,True,False,True,True,True,False,True,False,False,False,False,True,False,True,True,True,True"
FBgn0037722,CG8319,protein_coding,True,True,"ENSG00000152926,ENSG00000196705,ENSG00000173041,ENSG00000146757,ENSG00000256229,ENSG00000184635,ENSG00000181450,ENSG00000196381,ENSG00000196268,ENSG00000196605,ENSG00000234444,ENSG00000229676,ENSG00000196670,ENSG00000182903,ENSG00000213020,ENSG00000267041,ENSG00000188171,ENSG00000204611,ENSG00000198464,ENSG00000213973,ENSG00000160336,ENSG00000214652","ZNF117,ZNF431,ZNF680,ZNF92,ZNF486,ZNF93,ZNF678,ZNF781,ZNF493,ZNF846,ZNF736,ZNF492,ZFP62,ZNF721,ZNF611,ZNF850,ZNF626,ZNF616,ZNF480,ZNF99,ZNF761,ZNF727","protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding","False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False","True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True","ENSMUSG00000058093,ENSMUSG00000046185,ENSMUSG00000060301,ENSMUSG00000023892,ENSMUSG00000055480,ENSMUSG00000057396,ENSMUSG00000045519,ENSMUSG00000063488,ENSMUSG00000063281,ENSMUSG00000098905,ENSMUSG00000069743,ENSMUSG00000067916,ENSMUSG00000066829,ENSMUSG00000059142,ENSMUSG00000067942,ENSMUSG00000074165,ENSMUSG00000074865,ENSMUSG00000006720,ENSMUSG00000070605,ENSMUSG00000056300,ENSMUSG00000046311,ENSMUSG00000057842,ENSMUSG00000051037,ENSMUSG00000063108,ENSMUSG00000091474,ENSMUSG00000092416,ENSMUSG00000056019","Zfp729b,Zfp84,2610008E11Rik,Zfp51,Zfp458,Zfp759,Zfp560,Zkscan7,Zfp35,Zfp953,Zfp820,Zfp991,Zfp810,Zfp945,Zfp160,Zfp788,Zfp934,Zfp184,Zfp992,Zfp981,Zfp62,Zfp595,Zfp455,Zfp26,2610021A01Rik,Zfp141,Zfp709","protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding","False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False","True,True,True,False,False,False,False,True,False,True,True,False,True,True,True,False,True,False,False,False,False,True,False,True,True,True,True"
FBgn0038047,CG5245,protein_coding,True,True,"ENSG00000152926,ENSG00000196705,ENSG00000173041,ENSG00000146757,ENSG00000256229,ENSG00000184635,ENSG00000181450,ENSG00000196381,ENSG00000196268,ENSG00000196605,ENSG00000234444,ENSG00000229676,ENSG00000196670,ENSG00000182903,ENSG00000213020,ENSG00000267041,ENSG00000188171,ENSG00000204611,ENSG00000198464,ENSG00000213973,ENSG00000160336,ENSG00000214652","ZNF117,ZNF431,ZNF680,ZNF92,ZNF486,ZNF93,ZNF678,ZNF781,ZNF493,ZNF846,ZNF736,ZNF492,ZFP62,ZNF721,ZNF611,ZNF850,ZNF626,ZNF616,ZNF480,ZNF99,ZNF761,ZNF727","protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding","False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False","True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True","ENSMUSG00000058093,ENSMUSG00000046185,ENSMUSG00000060301,ENSMUSG00000023892,ENSMUSG00000055480,ENSMUSG00000057396,ENSMUSG00000045519,ENSMUSG00000063488,ENSMUSG00000063281,ENSMUSG00000098905,ENSMUSG00000069743,ENSMUSG00000067916,ENSMUSG00000066829,ENSMUSG00000059142,ENSMUSG00000067942,ENSMUSG00000074165,ENSMUSG00000074865,ENSMUSG00000006720,ENSMUSG00000070605,ENSMUSG00000056300,ENSMUSG00000046311,ENSMUSG00000057842,ENSMUSG00000051037,ENSMUSG00000063108,ENSMUSG00000091474,ENSMUSG00000092416,ENSMUSG00000056019","Zfp729b,Zfp84,2610008E11Rik,Zfp51,Zfp458,Zfp759,Zfp560,Zkscan7,Zfp35,Zfp953,Zfp820,Zfp991,Zfp810,Zfp945,Zfp160,Zfp788,Zfp934,Zfp184,Zfp992,Zfp981,Zfp62,Zfp595,Zfp455,Zfp26,2610021A01Rik,Zfp141,Zfp709","protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding","False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False","True,True,True,False,False,False,False,True,False,True,True,False,True,True,True,False,True,False,False,False,False,True,False,True,True,True,True"
FBgn0038787,CG4360,protein_coding,True,True,"ENSG00000152926,ENSG00000196705,ENSG00000173041,ENSG00000146757,ENSG00000256229,ENSG00000184635,ENSG00000181450,ENSG00000196381,ENSG00000196268,ENSG00000196605,ENSG00000234444,ENSG00000229676,ENSG00000196670,ENSG00000182903,ENSG00000213020,ENSG00000267041,ENSG00000188171,ENSG00000204611,ENSG00000198464,ENSG00000213973,ENSG00000160336,ENSG00000214652","ZNF117,ZNF431,ZNF680,ZNF92,ZNF486,ZNF93,ZNF678,ZNF781,ZNF493,ZNF846,ZNF736,ZNF492,ZFP62,ZNF721,ZNF611,ZNF850,ZNF626,ZNF616,ZNF480,ZNF99,ZNF761,ZNF727","protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding","False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False","True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True","ENSMUSG00000058093,ENSMUSG00000046185,ENSMUSG00000060301,ENSMUSG00000023892,ENSMUSG00000055480,ENSMUSG00000057396,ENSMUSG00000045519,ENSMUSG00000063488,ENSMUSG00000063281,ENSMUSG00000098905,ENSMUSG00000069743,ENSMUSG00000067916,ENSMUSG00000066829,ENSMUSG00000059142,ENSMUSG00000067942,ENSMUSG00000074165,ENSMUSG00000074865,ENSMUSG00000006720,ENSMUSG00000070605,ENSMUSG00000056300,ENSMUSG00000046311,ENSMUSG00000057842,ENSMUSG00000051037,ENSMUSG00000063108,ENSMUSG00000091474,ENSMUSG00000092416,ENSMUSG00000056019","Zfp729b,Zfp84,2610008E11Rik,Zfp51,Zfp458,Zfp759,Zfp560,Zkscan7,Zfp35,Zfp953,Zfp820,Zfp991,Zfp810,Zfp945,Zfp160,Zfp788,Zfp934,Zfp184,Zfp992,Zfp981,Zfp62,Zfp595,Zfp455,Zfp26,2610021A01Rik,Zfp141,Zfp709","protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding","False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False","True,True,True,False,False,False,False,True,False,True,True,False,True,True,True,False,True,False,False,False,False,True,False,True,True,True,True"
FBgn0033934,CG17385,protein_coding,True,True,"ENSG00000152926,ENSG00000196705,ENSG00000173041,ENSG00000146757,ENSG00000256229,ENSG00000184635,ENSG00000181450,ENSG00000196381,ENSG00000196268,ENSG00000196605,ENSG00000234444,ENSG00000229676,ENSG00000196670,ENSG00000182903,ENSG00000213020,ENSG00000267041,ENSG00000188171,ENSG00000204611,ENSG00000198464,ENSG00000213973,ENSG00000160336,ENSG00000214652","ZNF117,ZNF431,ZNF680,ZNF92,ZNF486,ZNF93,ZNF678,ZNF781,ZNF493,ZNF846,ZNF736,ZNF492,ZFP62,ZNF721,ZNF611,ZNF850,ZNF626,ZNF616,ZNF480,ZNF99,ZNF761,ZNF727","protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding","False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False","True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True","ENSMUSG00000058093,ENSMUSG00000046185,ENSMUSG00000060301,ENSMUSG00000023892,ENSMUSG00000055480,ENSMUSG00000057396,ENSMUSG00000045519,ENSMUSG00000063488,ENSMUSG00000063281,ENSMUSG00000098905,ENSMUSG00000069743,ENSMUSG00000067916,ENSMUSG00000066829,ENSMUSG00000059142,ENSMUSG00000067942,ENSMUSG00000074165,ENSMUSG00000074865,ENSMUSG00000006720,ENSMUSG00000070605,ENSMUSG00000056300,ENSMUSG00000046311,ENSMUSG00000057842,ENSMUSG00000051037,ENSMUSG00000063108,ENSMUSG00000091474,ENSMUSG00000092416,ENSMUSG00000056019","Zfp729b,Zfp84,2610008E11Rik,Zfp51,Zfp458,Zfp759,Zfp560,Zkscan7,Zfp35,Zfp953,Zfp820,Zfp991,Zfp810,Zfp945,Zfp160,Zfp788,Zfp934,Zfp184,Zfp992,Zfp981,Zfp62,Zfp595,Zfp455,Zfp26,2610021A01Rik,Zfp141,Zfp709","protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding","False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False","True,True,True,False,False,False,False,True,False,True,True,False,True,True,True,False,True,False,False,False,False,True,False,True,True,True,True"
FBgn0033491,CG18011,protein_coding,True,True,"ENSG00000152926,ENSG00000196705,ENSG00000173041,ENSG00000146757,ENSG00000256229,ENSG00000184635,ENSG00000181450,ENSG00000196381,ENSG00000196268,ENSG00000196605,ENSG00000234444,ENSG00000229676,ENSG00000196670,ENSG00000182903,ENSG00000213020,ENSG00000267041,ENSG00000188171,ENSG00000204611,ENSG00000198464,ENSG00000213973,ENSG00000160336,ENSG00000214652","ZNF117,ZNF431,ZNF680,ZNF92,ZNF486,ZNF93,ZNF678,ZNF781,ZNF493,ZNF846,ZNF736,ZNF492,ZFP62,ZNF721,ZNF611,ZNF850,ZNF626,ZNF616,ZNF480,ZNF99,ZNF761,ZNF727","protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding","False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False","True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True","ENSMUSG00000058093,ENSMUSG00000046185,ENSMUSG00000060301,ENSMUSG00000023892,ENSMUSG00000055480,ENSMUSG00000057396,ENSMUSG00000045519,ENSMUSG00000063488,ENSMUSG00000063281,ENSMUSG00000098905,ENSMUSG00000069743,ENSMUSG00000067916,ENSMUSG00000066829,ENSMUSG00000059142,ENSMUSG00000067942,ENSMUSG00000074165,ENSMUSG00000074865,ENSMUSG00000006720,ENSMUSG00000070605,ENSMUSG00000056300,ENSMUSG00000046311,ENSMUSG00000057842,ENSMUSG00000051037,ENSMUSG00000063108,ENSMUSG00000091474,ENSMUSG00000092416,ENSMUSG00000056019","Zfp729b,Zfp84,2610008E11Rik,Zfp51,Zfp458,Zfp759,Zfp560,Zkscan7,Zfp35,Zfp953,Zfp820,Zfp991,Zfp810,Zfp945,Zfp160,Zfp788,Zfp934,Zfp184,Zfp992,Zfp981,Zfp62,Zfp595,Zfp455,Zfp26,2610021A01Rik,Zfp141,Zfp709","protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding","False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False","True,True,True,False,False,False,False,True,False,True,True,False,True,True,True,False,True,False,False,False,False,True,False,True,True,True,True"
FBgn0264744,CG44002,protein_coding,True,False,"ENSG00000152926,ENSG00000196705,ENSG00000173041,ENSG00000146757,ENSG00000256229,ENSG00000184635,ENSG00000181450,ENSG00000196381,ENSG00000196268,ENSG00000196605,ENSG00000234444,ENSG00000229676,ENSG00000196670,ENSG00000182903,ENSG00000213020,ENSG00000267041,ENSG00000188171,ENSG00000204611,ENSG00000198464,ENSG00000213973,ENSG00000160336,ENSG00000214652","ZNF117,ZNF431,ZNF680,ZNF92,ZNF486,ZNF93,ZNF678,ZNF781,ZNF493,ZNF846,ZNF736,ZNF492,ZFP62,ZNF721,ZNF611,ZNF850,ZNF626,ZNF616,ZNF480,ZNF99,ZNF761,ZNF727","protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding","False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False","True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True","ENSMUSG00000058093,ENSMUSG00000046185,ENSMUSG00000060301,ENSMUSG00000023892,ENSMUSG00000055480,ENSMUSG00000057396,ENSMUSG00000045519,ENSMUSG00000063488,ENSMUSG00000063281,ENSMUSG00000098905,ENSMUSG00000069743,ENSMUSG00000067916,ENSMUSG00000066829,ENSMUSG00000059142,ENSMUSG00000067942,ENSMUSG00000074165,ENSMUSG00000074865,ENSMUSG00000006720,ENSMUSG00000070605,ENSMUSG00000056300,ENSMUSG00000046311,ENSMUSG00000057842,ENSMUSG00000051037,ENSMUSG00000063108,ENSMUSG00000091474,ENSMUSG00000092416,ENSMUSG00000056019","Zfp729b,Zfp84,2610008E11Rik,Zfp51,Zfp458,Zfp759,Zfp560,Zkscan7,Zfp35,Zfp953,Zfp820,Zfp991,Zfp810,Zfp945,Zfp160,Zfp788,Zfp934,Zfp184,Zfp992,Zfp981,Zfp62,Zfp595,Zfp455,Zfp26,2610021A01Rik,Zfp141,Zfp709","protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding","False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False","True,True,True,False,False,False,False,True,False,True,True,False,True,True,True,False,True,False,False,False,False,True,False,True,True,True,True"
